Symbol,Name,Sector,Location,CIK,Founded
MMM,3M Company,Industrials,"St. Paul, Minnesota",0000066740,"1902
"
AOS,A.O. Smith Corp,Industrials,"Milwaukee, Wisconsin","0000091142
","1916
"
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois",0000001800,"1888
"
ABBV,AbbVie Inc.,Health Care,"North Chicago, Illinois",0001551152,"2013 (1888)
"
ABMD,ABIOMED Inc,Health Care,"Danvers, Massachusetts",0000815094,"1981
"
ACN,Accenture plc,Information Technology,"Dublin, Ireland",0001467373,"1989
"
ATVI,Activision Blizzard,Information Technology,"Santa Monica, California",0000718877,"2008
"
ADBE,Adobe Systems Inc,Information Technology,"San Jose, California",0000796343,"1982
"
AAP,Advance Auto Parts,Consumer Discretionary,"Roanoke, Virginia",0001158449,"1932
"
AMD,Advanced Micro Devices Inc,Information Technology,"Sunnyvale, California",0000002488,"1969
"
AES,AES Corp,Utilities,"Arlington, Virginia",0000874761,"1981
"
AET,Aetna Inc,Health Care,"Hartford, Connecticut",0001122304,"1810
"
AMG,Affiliated Managers Group Inc,Financials,"Beverly, Massachusetts","0001004434
","1993
"
AFL,AFLAC Inc,Financials,"Columbus, Georgia",0000004977,"1955
"
A,Agilent Technologies Inc,Health Care,"Santa Clara, California",0001090872,"1999
"
APD,Air Products & Chemicals Inc,Materials,"Allentown, Pennsylvania",0000002969,"1940
"
AKAM,Akamai Technologies Inc,Information Technology,"Cambridge, Massachusetts",0001086222,"1998
"
ALK,Alaska Air Group Inc,Industrials,"Seattle, Washington",0000766421,"1985
"
ALB,Albemarle Corp,Materials,"Baton Rouge, Louisiana",0000915913,"1994
"
ARE,Alexandria Real Estate Equities Inc,Real Estate,"Pasadena, California",0001035443,"1994
"
ALXN,Alexion Pharmaceuticals,Health Care,"Cheshire, Connecticut","0000899866
","1992
"
ALGN,Align Technology,Health Care,"San Jose, California",0001097149,"1997
"
ALLE,Allegion,Industrials,"Dublin, Ireland","0001579241
","1908
"
AGN,"Allergan, Plc",Health Care,"Dublin, Ireland","0001578845
","1983
"
ADS,Alliance Data Systems,Information Technology,"Plano, Texas","0001101215
","1996
"
LNT,Alliant Energy Corp,Utilities,"Madison, Wisconsin","0000352541
","1917
"
ALL,Allstate Corp,Financials,"Northfield Township, Illinois","0000899051
","1931
"
GOOGL,Alphabet Inc Class A,Information Technology,"Mountain View, California","0001652044
","1998
"
GOOG,Alphabet Inc Class C,Information Technology,"Mountain View, California","0001652044
","1998
"
MO,Altria Group Inc,Consumer Staples,"Richmond, Virginia",0000764180,"1985
"
AMZN,Amazon.com Inc.,Consumer Discretionary,"Seattle, Washington","0001018724
","1994
"
